¿Quién 'sabía que no sabía nada'?,true
Sócrates,false

¿En qué lugar del cuerpo se produce la insulina?,true
Pancreas,false

¿Con qué se fabricaba el pergamino?,true
Con tiras de madera,false

¿Quién fue famoso esposo de Frida Kahlo?,true
Diego Rivera,false

¿Qué grasas hacen tan saludable el aceite de oliva?,true
Las monoinsaturadas,false

¿Qué le pasa en realidad al gato de Schrödinger?,true
Que está muerto y vivo,false

¿Cuál es el primero de la lista de los números primos?,true
2,false

¿A qué Ciudad-Estado pertenecía la localidad natal de Leonardo Da Vinci?,true
A Florencia,false

¿A quién le dice la Reina Roja que tiene que correr lo más rápido que pueda para quedarse en el mismo sitio?,true
A Alicia,false

La campana de Gauss está asociada a...,true
La probabilidad,false

¿Qué significa la 'a' en el término sida?,true
Adquirida,false

¿De qué empresario cuenta la historia la película La red social?,true
Mark Zuckerberg,false

¿La primera circunnavegación del mundo fue completada por...?,true
Magallanes,false

¿Qué se coloca entre los números de una dirección de IP?,true
Puntos,false

La obra de Shakespeare Romeo y Julieta está ambientada en...,true
Verona,false
